In	Amp	Phase
1.000000000000000056e-01	2.095572357326090795e+01	2.433468074194097497e+00
1.001382644197049976e-01	2.094659659879362934e+01	2.433096126350628996e+00
1.002767200099075884e-01	2.093747250742612209e+01	2.432723855251866407e+00
1.004153670349284821e-01	2.092835130290531254e+01	2.432351260578695218e+00
1.005542057594540073e-01	2.091923298898342054e+01	2.431978342011801075e+00
1.006932364485362830e-01	2.091011756941800570e+01	2.431605099231671119e+00
1.008324593675940517e-01	2.090100504797191050e+01	2.431231531918593536e+00
1.009718747824129431e-01	2.089189542841334912e+01	2.430857639752660226e+00
1.011114829591461262e-01	2.088278871451582575e+01	2.430483422413765471e+00
1.012512841643146977e-01	2.087368491005822335e+01	2.430108879581606818e+00
1.013912786648083764e-01	2.086458401882473623e+01	2.429734010935686417e+00
1.015314667278857524e-01	2.085548604460493038e+01	2.429358816155311018e+00
1.016718486211750649e-01	2.084639099119373284e+01	2.428983294919592417e+00
1.018124246126744653e-01	2.083729886239142459e+01	2.428607446907448342e+00
1.019531949707527946e-01	2.082820966200365831e+01	2.428231271797603341e+00
1.020941599641498193e-01	2.081912339384147614e+01	2.427854769268588786e+00
1.022353198619769671e-01	2.081004006172128840e+01	2.427477938998744200e+00
1.023766749337176735e-01	2.080095966946490904e+01	2.427100780666216373e+00
1.025182254492280759e-01	2.079188222089954152e+01	2.426723293948962024e+00
1.026599716787373190e-01	2.078280771985779296e+01	2.426345478524746913e+00
1.028019138928482623e-01	2.077373617017767415e+01	2.425967334071146730e+00
1.029440523625378412e-01	2.076466757570263155e+01	2.425588860265548430e+00
1.030863873591577329e-01	2.075560194028150818e+01	2.425210056785149337e+00
1.032289191544347312e-01	2.074653926776858981e+01	2.424830923306960262e+00
1.033716480204713711e-01	2.073747956202359077e+01	2.424451459507802831e+00
1.035145742297463728e-01	2.072842282691167171e+01	2.424071665064313486e+00
1.036576980551152244e-01	2.071936906630343955e+01	2.423691539652942151e+00
1.038010197698107234e-01	2.071031828407494757e+01	2.423311082949951789e+00
1.039445396474433098e-01	2.070127048410771309e+01	2.422930294631423287e+00
1.040882579620019122e-01	2.069222567028872106e+01	2.422549174373250569e+00
1.042321749878541148e-01	2.068318384651043473e+01	2.422167721851146371e+00
1.043762909997469901e-01	2.067414501667077786e+01	2.421785936740638689e+00
1.045206062728073898e-01	2.066510918467317381e+01	2.421403818717074330e+00
1.046651210825426670e-01	2.065607635442653134e+01	2.421021367455618023e+00
1.048098357048409673e-01	2.064704652984526589e+01	2.420638582631254199e+00
1.049547504159720618e-01	2.063801971484928188e+01	2.420255463918787431e+00
1.050998654925875270e-01	2.062899591336400107e+01	2.419872010992841105e+00
1.052451812117216196e-01	2.061997512932036614e+01	2.419488223527861415e+00
1.053906978507914843e-01	2.061095736665483713e+01	2.419104101198116030e+00
1.055364156875979453e-01	2.060194262930940567e+01	2.418719643677694542e+00
1.056823350003258666e-01	2.059293092123158786e+01	2.418334850640509792e+00
1.058284560675447766e-01	2.058392224637445267e+01	2.417949721760300097e+00
1.059747791682093265e-01	2.057491660869662198e+01	2.417564256710626580e+00
1.061213045816599282e-01	2.056591401216225279e+01	2.417178455164876283e+00
1.062680325876231430e-01	2.055691446074108342e+01	2.416792316796262607e+00
1.064149634662123617e-01	2.054791795840839796e+01	2.416405841277826205e+00
1.065620974979282071e-01	2.053892450914507251e+01	2.416019028282433645e+00
1.067094349636592138e-01	2.052993411693754311e+01	2.415631877482781409e+00
1.068569761446822031e-01	2.052094678577784848e+01	2.415244388551394117e+00
1.070047213226629768e-01	2.051196251966360862e+01	2.414856561160625414e+00
1.071526707796567057e-01	2.050298132259804262e+01	2.414468394982661525e+00
1.073008247981086100e-01	2.049400319858997932e+01	2.414079889689517699e+00
1.074491836608544165e-01	2.048502815165384305e+01	2.413691044953041320e+00
1.075977476511208591e-01	2.047605618580969633e+01	2.413301860444914126e+00
1.077465170525263582e-01	2.046708730508319718e+01	2.412912335836649991e+00
1.078954921490813679e-01	2.045812151350566310e+01	2.412522470799596697e+00
1.080446732251891806e-01	2.044915881511401423e+01	2.412132265004937270e+00
1.081940605656461496e-01	2.044019921395084083e+01	2.411741718123691314e+00
1.083436544556425352e-01	2.043124271406436421e+01	2.411350829826714115e+00
1.084934551807628239e-01	2.042228931950845450e+01	2.410959599784697982e+00
1.086434630269864365e-01	2.041333903434266617e+01	2.410568027668174018e+00
1.087936782806881164e-01	2.040439186263218829e+01	2.410176113147511678e+00
1.089441012286386512e-01	2.039544780844790139e+01	2.409783855892920545e+00
1.090947321580052615e-01	2.038650687586637034e+01	2.409391255574450330e+00
1.092455713563522668e-01	2.037756906896981945e+01	2.408998311861991759e+00
1.093966191116415437e-01	2.036863439184618230e+01	2.408605024425277463e+00
1.095478757122331642e-01	2.035970284858908741e+01	2.408211392933884198e+00
1.096993414468858397e-01	2.035077444329786189e+01	2.407817417057230625e+00
1.098510166047576009e-01	2.034184918007754206e+01	2.407423096464581302e+00
1.100029014754062145e-01	2.033292706303888764e+01	2.407028430825045806e+00
1.101549963487898770e-01	2.032400809629836402e+01	2.406633419807579166e+00
1.103073015152675890e-01	2.031509228397818134e+01	2.406238063080983647e+00
1.104598172655999466e-01	2.030617963020627315e+01	2.405842360313910078e+00
1.106125438909494330e-01	2.029727013911631417e+01	2.405446311174856966e+00
1.107654816828812089e-01	2.028836381484772744e+01	2.405049915332172716e+00
1.109186309333634879e-01	2.027946066154567717e+01	2.404653172454056964e+00
1.110719919347682300e-01	2.027056068336111139e+01	2.404256082208558798e+00
1.112255649798716550e-01	2.026166388445070510e+01	2.403858644263580757e+00
1.113793503618547009e-01	2.025277026897693844e+01	2.403460858286877944e+00
1.115333483743037174e-01	2.024387984110805050e+01	2.403062723946059354e+00
1.116875593112110071e-01	2.023499260501806418e+01	2.402664240908588766e+00
1.118419834669753532e-01	2.022610856488678621e+01	2.402265408841784300e+00
1.119966211364025327e-01	2.021722772489983910e+01	2.401866227412822852e+00
1.121514726147060104e-01	2.020835008924861498e+01	2.401466696288736546e+00
1.123065381975073412e-01	2.019947566213033951e+01	2.401066815136417620e+00
1.124618181808369199e-01	2.019060444774803287e+01	2.400666583622615313e+00
1.126173128611343416e-01	2.018173645031054164e+01	2.400266001413940753e+00
1.127730225352491789e-01	2.017287167403253889e+01	2.399865068176865623e+00
1.129289475004413290e-01	2.016401012313452767e+01	2.399463783577722609e+00
1.130850880543818049e-01	2.015515180184284461e+01	2.399062147282708946e+00
1.132414444951530819e-01	2.014629671438967051e+01	2.398660158957883315e+00
1.133980171212498889e-01	2.013744486501303754e+01	2.398257818269170727e+00
1.135548062315795692e-01	2.012859625795682561e+01	2.397855124882362077e+00
1.137118121254628161e-01	2.011975089747078727e+01	2.397452078463112812e+00
1.138690351026341308e-01	2.011090878781052993e+01	2.397048678676947819e+00
1.140264754632425021e-01	2.010206993323754077e+01	2.396644925189260089e+00
1.141841335078518094e-01	2.009323433801918313e+01	2.396240817665311162e+00
1.143420095374416551e-01	2.008440200642870721e+01	2.395836355770233350e+00
1.145001038534076282e-01	2.007557294274525006e+01	2.395431539169031065e+00
1.146584167575621926e-01	2.006674715125384978e+01	2.395026367526579936e+00
