In	v1	v2
-0.0006	-5.80e-01	3.40e+00
-0.000598999165971643	-5.20e-01	3.00e+00
-0.000597998331943286	-5.20e-01	3.20e+00
-0.0005969974979149291	-5.60e-01	3.00e+00
-0.0005959966638865721	-5.60e-01	3.20e+00
-0.0005949958298582151	-5.00e-01	2.80e+00
-0.0005939949958298582	-5.40e-01	3.20e+00
-0.0005929941618015012	-4.80e-01	2.80e+00
-0.0005919933277731442	-4.80e-01	3.00e+00
-0.0005909924937447873	-5.40e-01	2.80e+00
-0.0005899916597164304	-5.20e-01	3.00e+00
-0.0005889908256880733	-4.60e-01	2.60e+00
-0.0005879899916597164	-5.00e-01	2.80e+00
-0.0005869891576313595	-4.60e-01	2.60e+00
-0.0005859883236030024	-5.00e-01	2.80e+00
-0.0005849874895746455	-4.40e-01	2.40e+00
-0.0005839866555462886	-4.80e-01	2.40e+00
-0.0005829858215179315	-4.20e-01	2.80e+00
-0.0005819849874895746	-4.20e-01	2.20e+00
-0.0005809841534612176	-4.80e-01	2.80e+00
-0.0005799833194328606	-4.60e-01	2.20e+00
-0.0005789824854045037	-4.00e-01	2.60e+00
-0.0005779816513761467	-4.40e-01	2.60e+00
-0.0005769808173477898	-3.80e-01	2.20e+00
-0.0005759799833194328	-4.40e-01	2.20e+00
-0.0005749791492910758	-3.80e-01	2.40e+00
-0.0005739783152627189	-4.20e-01	2.40e+00
-0.0005729774812343619	-3.60e-01	2.00e+00
-0.0005719766472060049	-3.60e-01	2.40e+00
-0.000570975813177648	-4.20e-01	2.00e+00
-0.000569974979149291	-4.00e-01	2.20e+00
-0.000568974145120934	-3.40e-01	2.00e+00
-0.0005679733110925771	-3.40e-01	2.20e+00
-0.0005669724770642202	-3.80e-01	1.80e+00
-0.0005659716430358631	-3.80e-01	2.20e+00
-0.0005649708090075062	-3.20e-01	1.60e+00
-0.0005639699749791493	-3.20e-01	2.00e+00
-0.0005629691409507922	-3.60e-01	1.60e+00
-0.0005619683069224353	-3.60e-01	2.00e+00
-0.0005609674728940784	-3.00e-01	1.60e+00
-0.0005599666388657214	-3.00e-01	1.60e+00
-0.0005589658048373644	-3.40e-01	2.00e+00
-0.0005579649708090075	-3.40e-01	1.60e+00
-0.0005569641367806505	-2.80e-01	1.60e+00
-0.0005559633027522935	-2.80e-01	1.60e+00
-0.0005549624687239366	-3.20e-01	1.20e+00
-0.0005539616346955796	-3.20e-01	1.60e+00
-0.0005529608006672226	-2.60e-01	1.20e+00
-0.0005519599666388657	-2.60e-01	1.40e+00
-0.0005509591326105087	-3.00e-01	1.20e+00
-0.0005499582985821518	-3.00e-01	1.00e+00
-0.0005489574645537948	-2.40e-01	1.60e+00
-0.0005479566305254378	-2.80e-01	1.40e+00
-0.0005469557964970809	-2.40e-01	1.00e+00
-0.0005459549624687239	-2.80e-01	1.20e+00
-0.0005449541284403669	-2.20e-01	1.00e+00
-0.00054395329441201	-2.60e-01	1.20e+00
-0.000542952460383653	-2.00e-01	1.00e+00
-0.000541951626355296	-2.40e-01	1.20e+00
-0.0005409507923269391	-2.00e-01	8.00e-01
-0.000539949958298582	-2.40e-01	1.20e+00
-0.0005389491242702251	-1.80e-01	8.00e-01
-0.0005379482902418682	-2.40e-01	1.00e+00
-0.0005369474562135113	-1.60e-01	8.00e-01
-0.0005359466221851542	-1.60e-01	6.00e-01
-0.0005349457881567973	-2.20e-01	1.20e+00
-0.0005339449541284403	-2.00e-01	1.00e+00
-0.0005329441201000833	-1.40e-01	6.00e-01
-0.0005319432860717264	-1.80e-01	6.00e-01
-0.0005309424520433694	-1.20e-01	8.00e-01
-0.0005299416180150125	-1.60e-01	8.00e-01
-0.0005289407839866555	-1.20e-01	4.00e-01
-0.0005279399499582985	-1.60e-01	8.00e-01
-0.0005269391159299416	-1.00e-01	4.00e-01
-0.0005259382819015846	-1.40e-01	6.00e-01
-0.0005249374478732276	-1.00e-01	4.00e-01
-0.0005239366138448707	-1.40e-01	6.00e-01
-0.0005229357798165138	-8.00e-02	4.00e-01
-0.0005219349457881567	-8.00e-02	6.00e-01
-0.0005209341117597998	-1.40e-01	2.00e-01
-0.0005199332777314429	-1.20e-01	6.00e-01
-0.0005189324437030858	-6.00e-02	2.00e-01
-0.0005179316096747289	-1.00e-01	2.00e-01
-0.000516930775646372	-6.00e-02	4.00e-01
-0.0005159299416180149	-1.00e-01	4.00e-01
-0.000514929107589658	-4.00e-02	0.00e+00
-0.0005139282735613011	-8.00e-02	4.00e-01
-0.000512927439532944	-4.00e-02	0.00e+00
-0.0005119266055045871	-8.00e-02	0.00e+00
-0.0005109257714762302	-2.00e-02	2.00e-01
-0.0005099249374478732	-2.00e-02	0.00e+00
-0.0005089241034195162	-6.00e-02	2.00e-01
-0.0005079232693911593	-6.00e-02	2.00e-01
-0.0005069224353628023	0.00e+00	-2.00e-01
-0.0005059216013344453	-4.00e-02	-2.00e-01
-0.0005049207673060883	2.00e-02	2.00e-01
-0.0005039199332777314	-4.00e-02	-2.00e-01
-0.0005029190992493745	2.00e-02	0.00e+00
-0.0005019182652210175	2.00e-02	-2.00e-01
-0.0005009174311926605	-2.00e-02	-4.00e-01
-0.0004999165971643036	-2.00e-02	-2.00e-01
-0.0004989157631359465	4.00e-02	-6.00e-01
-0.0004979149291075896	4.00e-02	-6.00e-01
-0.0004969140950792327	0.00e+00	-2.00e-01
-0.0004959132610508757	0.00e+00	-4.00e-01
-0.0004949124270225187	6.00e-02	-6.00e-01
-0.0004939115929941618	2.00e-02	-4.00e-01
-0.0004929107589658047	8.00e-02	-8.00e-01
-0.0004919099249374478	8.00e-02	-4.00e-01
-0.0004909090909090909	2.00e-02	-8.00e-01
-0.0004899082568807339	4.00e-02	-4.00e-01
-0.0004889074228523769	1.20e-01	-1.00e+00
-0.00048790658882402	4.00e-02	-6.00e-01
-0.000486905754795663	1.20e-01	-8.00e-01
-0.00048590492076730604	8.00e-02	-6.00e-01
-0.0004849040867389491	1.40e-01	-1.00e+00
-0.00048390325271059214	8.00e-02	-6.00e-01
-0.00048290241868223515	1.40e-01	-1.00e+00
-0.0004819015846538782	1.00e-01	-8.00e-01
-0.00048090075062552125	1.60e-01	-1.00e+00
-0.00047989991659716427	1.60e-01	-8.00e-01
-0.0004788990825688073	1.00e-01	-1.20e+00
-0.0004778982485404503	1.20e-01	-1.20e+00
-0.0004768974145120934	1.80e-01	-8.00e-01
-0.0004758965804837364	1.40e-01	-1.40e+00
-0.0004748957464553794	1.80e-01	-8.00e-01
-0.0004738949124270225	1.40e-01	-1.00e+00
-0.0004728940783986655	2.00e-01	-1.20e+00
-0.0004718932443703085	2.00e-01	-1.00e+00
-0.0004708924103419516	1.40e-01	-1.40e+00
-0.0004698915763135946	1.60e-01	-1.40e+00
-0.00046889074228523763	2.20e-01	-1.00e+00
-0.0004678899082568807	2.20e-01	-1.20e+00
-0.0004668890742285237	1.80e-01	-1.40e+00
-0.00046588824020016675	1.80e-01	-1.20e+00
-0.0004648874061718098	2.40e-01	-1.60e+00
-0.00046388657214345284	2.40e-01	-1.60e+00
-0.00046288573811509586	2.00e-01	-1.20e+00
-0.00046188490408673893	2.00e-01	-1.40e+00
-0.00046088407005838195	2.60e-01	-1.60e+00
-0.00045988323603002497	2.20e-01	-1.40e+00
-0.00045888240200166804	2.80e-01	-1.80e+00
-0.00045788156797331106	2.20e-01	-1.40e+00
-0.0004568807339449541	2.80e-01	-1.80e+00
-0.00045587989991659715	2.80e-01	-1.40e+00
-0.00045487906588824017	2.40e-01	-1.80e+00
-0.0004538782318598832	2.40e-01	-1.80e+00
-0.00045287739783152626	3.00e-01	-1.60e+00
-0.0004518765638031693	2.60e-01	-1.60e+00
-0.0004508757297748123	3.20e-01	-2.00e+00
-0.00044987489574645537	2.60e-01	-2.00e+00
-0.0004488740617180984	3.20e-01	-1.60e+00
-0.0004478732276897414	2.80e-01	-2.00e+00
-0.0004468723936613845	3.40e-01	-2.00e+00
-0.00044587155963302745	3.00e-01	-2.00e+00
-0.0004448707256046705	3.40e-01	-2.40e+00
-0.0004438698915763136	3.00e-01	-2.00e+00
-0.00044286905754795656	3.60e-01	-2.40e+00
-0.00044186822351959963	3.20e-01	-2.20e+00
-0.0004408673894912427	3.80e-01	-2.40e+00
-0.00043986655546288567	3.40e-01	-2.20e+00
-0.00043886572143452874	4.00e-01	-2.60e+00
-0.0004378648874061718	3.40e-01	-2.20e+00
-0.0004368640533778148	4.00e-01	-2.60e+00
-0.00043586321934945785	3.60e-01	-2.60e+00
-0.00043486238532110087	4.20e-01	-2.20e+00
-0.0004338615512927439	4.20e-01	-2.40e+00
-0.00043286071726438696	3.60e-01	-2.80e+00
-0.00043185988323603	3.80e-01	-2.40e+00
-0.000430859049207673	4.40e-01	-2.80e+00
-0.0004298582151793161	4.00e-01	-3.00e+00
-0.0004288573811509591	4.40e-01	-2.40e+00
-0.0004278565471226021	4.00e-01	-2.60e+00
-0.0004268557130942452	4.60e-01	-3.00e+00
-0.0004258548790658882	4.60e-01	-2.60e+00
-0.0004248540450375312	4.20e-01	-3.00e+00
-0.0004238532110091743	4.20e-01	-3.00e+00
-0.0004228523769808173	4.80e-01	-2.80e+00
-0.00042185154295246033	4.40e-01	-2.80e+00
-0.0004208507089241034	4.80e-01	-3.20e+00
-0.0004198498748957464	4.40e-01	-3.20e+00
-0.00041884904086738944	5.00e-01	-2.80e+00
-0.0004178482068390325	4.60e-01	-3.00e+00
-0.00041684737281067553	5.00e-01	-3.40e+00
-0.00041584653878231855	4.60e-01	-3.40e+00
-0.0004148457047539616	5.20e-01	-3.00e+00
-0.00041384487072560465	4.80e-01	-3.20e+00
-0.00041284403669724766	5.40e-01	-3.60e+00
-0.00041184320266889074	4.80e-01	-3.20e+00
-0.00041084236864053376	5.40e-01	-3.60e+00
-0.0004098415346121768	5.00e-01	-3.60e+00
-0.00040884070058381985	5.60e-01	-3.20e+00
-0.00040783986655546287	5.00e-01	-3.40e+00
-0.0004068390325271059	5.60e-01	-3.80e+00
-0.00040583819849874896	5.20e-01	-3.40e+00
-0.0004048373644703919	5.80e-01	-3.80e+00
-0.000403836530442035	5.20e-01	-3.80e+00
-0.00040283569641367807	5.80e-01	-3.40e+00
-0.00040183486238532103	5.40e-01	-3.80e+00
-0.0004008340283569641	6.00e-01	-4.20e+00
-0.0003998331943286072	5.40e-01	-3.80e+00
-0.00039883236030025014	6.00e-01	-4.20e+00
-0.0003978315262718932	5.60e-01	-3.80e+00
-0.00039683069224353624	6.20e-01	-4.40e+00
-0.00039582985821517926	5.80e-01	-4.00e+00
-0.00039482902418682233	6.40e-01	-4.40e+00
-0.00039382819015846535	6.40e-01	-4.00e+00
-0.00039282735613010837	5.80e-01	-4.40e+00
-0.00039182652210175144	6.20e-01	-4.20e+00
-0.00039082568807339446	6.60e-01	-4.60e+00
-0.0003898248540450375	6.20e-01	-4.20e+00
-0.00038882402001668055	6.80e-01	-4.60e+00
-0.00038782318598832357	6.80e-01	-4.40e+00
-0.0003868223519599666	6.40e-01	-4.80e+00
-0.00038582151793160966	6.40e-01	-4.40e+00
-0.0003848206839032527	7.00e-01	-4.80e+00
-0.0003838198498748957	6.60e-01	-4.40e+00
-0.00038281901584653877	7.00e-01	-5.00e+00
-0.0003818181818181818	6.60e-01	-4.60e+00
-0.0003808173477898248	7.20e-01	-5.00e+00
-0.0003798165137614679	6.80e-01	-4.60e+00
